Subject,NEOFAC_N,NEO-FFI_Compl,NEORAW_01,NEORAW_06,NEORAW_11,NEORAW_16,NEORAW_21,NEORAW_26,NEORAW_31,NEORAW_36,NEORAW_41,NEORAW_46,NEORAW_51,NEORAW_56
438716,23,True,A,D,SA,N,N,SD,SD,N,N,SA,A,N
717713,21,True,SA,D,D,SA,N,A,SD,SD,A,SA,A,SA
973742,25,True,SA,D,A,N,A,N,N,SD,A,A,SA,SA
483168,23,True,N,SA,A,SA,SD,SD,D,SA,A,SA,D,A
879328,21,True,SA,A,D,N,N,SA,D,A,D,N,SD,SD
530581,19,True,SD,D,SD,A,A,SA,SA,D,SA,A,SD,SD
919501,24,True,A,SD,D,N,N,SD,SD,D,SA,SD,SA,D
587070,20,True,SA,SA,D,N,N,D,N,SD,SD,N,SA,N
552928,30,True,D,A,D,A,SA,A,SD,SA,N,A,SD,SA
343703,15,True,SD,SD,SA,A,D,N,SA,SD,D,A,SD,D
821833,30,True,A,D,A,SD,N,SA,N,D,A,A,SA,SA
570820,17,True,A,N,D,N,D,D,SA,D,A,A,N,N
451650,26,True,SA,A,A,SA,A,SA,SD,A,SD,N,N,N
665515,26,True,SD,SD,D,SD,SD,N,D,SD,SA,N,A,A
844543,24,True,D,D,N,A,N,SD,SD,SA,N,SD,SD,D
454586,29,True,D,A,SA,A,A,N,A,N,N,N,A,A
530491,33,True,N,SD,SA,SD,SA,SA,SD,N,N,SD,N,D
330705,22,True,A,SD,SA,D,D,D,SD,SD,D,D,D,A
936336,15,True,SA,A,SD,A,SD,N,D,SD,A,N,D,SD
937604,25,True,D,SA,SA,A,SA,N,SA,SD,D,N,SD,SA
457879,27,True,D,A,SA,SD,SD,SA,A,SD,SD,D,A,N
254173,29,True,SD,SA,SD,SD,N,SA,D,N,SD,SD,SD,N
961016,14,True,SA,D,SD,N,D,A,A,SD,N,SA,SA,SD
178101,20,True,D,N,N,N,SA,SD,N,SA,SD,A,SD,SD
135099,27,True,N,SA,N,SA,N,N,A,D,D,SD,SA,SA
990570,31,True,SD,N,D,SD,SD,A,D,A,N,SD,N,A
913314,26,True,D,A,SD,SD,D,SD,SA,A,N,N,SA,SA
941569,25,True,SD,D,A,N,D,A,D,A,SD,A,SD,SA
605082,22,True,SA,SA,D,SD,N,SD,SA,N,A,SD,D,D
937793,17,True,N,SD,D,A,SD,N,A,A,N,SD,D,SD
797765,24,True,A,A,A,SD,SD,N,D,SA,A,A,SD,SD
641145,27,True,D,SD,N,N,SA,A,N,D,SA,D,SD,A
518637,20,True,SA,SA,D,A,N,D,D,D,SD,A,SA,N
244116,19,True,N,N,N,A,A,SD,SD,SD,N,SA,D,N
187979,34,True,D,A,N,SD,SA,SA,SD,D,SD,SD,A,N
471144,29,True,D,N,N,D,A,SA,N,A,N,N,N,D
877324,28,True,N,A,D,D,D,SA,N,SA,D,SD,SD,A
210031,28,True,SD,D,SA,SA,SA,N,SA,A,SA,A,SA,D
179141,21,True,D,D,N,N,A,D,SA,N,N,D,D,D
441112,25,True,A,D,N,A,N,SA,D,N,N,N,N,A
773415,20,True,D,N,N,SA,N,SD,N,A,A,N,D,SD
222763,26,True,D,D,D,N,SD,A,D,SA,N,A,SA,N
983050,18,True,A,SA,SD,A,SD,A,N,A,SD,A,N,D
556840,29,True,A,SD,D,D,N,A,A,A,SA,D,SA,SA
376085,22,True,SA,D,N,A,SA,D,D,SA,N,N,SD,N
655387,15,True,A,D,SA,N,D,D,SA,N,SD,D,SD,SD
884002,23,True,SD,SA,SA,SD,SD,D,A,SD,D,N,SD,N
880056,26,True,SD,SD,SA,A,SA,D,SA,N,A,D,D,A
649957,14,True,N,D,D,SA,SD,SD,A,SD,SD,SD,SA,D
852588,24,True,SD,N,D,A,SA,SD,N,SA,N,SA,A,D
464752,22,True,A,SA,SD,A,SA,SD,D,SA,A,SA,SD,N
156745,21,True,D,A,SD,A,D,N,D,A,SD,SA,N,A
477215,40,True,D,A,D,N,A,SA,SD,SA,SA,SD,SA,SA
365816,27,True,A,SA,D,SD,SA,N,D,D,N,A,SD,SA
286378,23,True,SD,A,N,SA,SA,A,SD,SD,SD,SA,N,D
344367,20,True,SA,SD,SA,D,N,SA,SA,SA,SD,SA,D,N
920418,20,True,N,A,SD,SD,D,D,SA,N,SA,N,D,SD
563157,31,True,SD,D,D,D,A,A,SD,A,D,A,A,SA
342810,22,True,SA,SA,N,SA,SD,N,A,D,A,N,A,SA
142141,17,True,SA,SA,D,A,D,A,SA,D,A,D,SD,SD
949174,26,True,A,A,SA,D,N,A,D,SD,SD,SA,SA,A
163686,17,True,N,N,N,A,A,N,N,D,D,SA,D,SD
573021,23,True,A,N,D,SD,A,N,N,A,SD,A,SA,SD
192084,20,True,SD,A,D,N,SD,N,D,SD,D,A,D,N
950311,17,True,N,N,A,SA,SD,SD,A,SD,A,A,SA,D
698598,24,True,N,D,A,A,SA,SD,SD,D,A,N,A,SD
354433,21,True,SD,N,N,N,N,SD,A,N,D,SD,D,SD
275725,14,True,SA,N,SD,N,SD,SD,SD,SD,SA,N,SD,SD
606022,22,True,SA,A,N,SD,N,SD,A,SD,N,SD,N,N
153219,26,True,D,N,SA,SD,D,N,SA,SA,N,D,D,SD
578033,24,True,D,D,SA,SA,A,N,SA,N,A,SA,SA,N
338391,20,True,SA,SD,SA,N,A,D,SA,D,N,D,SD,SA
760280,26,True,N,SA,N,SA,SD,A,SD,SD,A,SD,N,N
