Subject,NEORAW_01,NEORAW_06,NEORAW_11,NEORAW_16,NEORAW_21,NEORAW_26,NEORAW_31,NEORAW_36,NEORAW_41,NEORAW_46,NEORAW_51,NEORAW_56
438716,1,1,4,2,2,0,4,2,2,0,3,2
717713,0,1,1,0,2,3,4,0,3,0,3,4
973742,0,1,3,2,3,2,2,0,3,1,4,4
483168,2,4,3,0,0,0,3,4,3,0,1,3
879328,0,3,1,2,2,4,3,3,1,2,0,0
530581,4,1,0,1,3,4,0,1,4,1,0,0
919501,1,0,1,2,2,0,4,1,4,4,4,1
587070,0,4,1,2,2,1,2,0,0,2,4,2
552928,3,3,1,1,4,3,4,4,2,1,0,4
343703,4,0,4,1,1,2,0,0,1,1,0,1
821833,1,1,3,4,2,4,2,1,3,1,4,4
570820,1,2,1,2,1,1,0,1,3,1,2,2
451650,0,3,3,0,3,4,4,3,0,2,2,2
665515,4,0,1,4,0,2,3,0,4,2,3,3
844543,3,1,2,1,2,0,4,4,2,4,0,1
454586,3,3,4,1,3,2,1,2,2,2,3,3
530491,2,0,4,4,4,4,4,2,2,4,2,1
330705,1,0,4,3,1,1,4,0,1,3,1,3
936336,0,3,0,1,0,2,3,0,3,2,1,0
937604,3,4,4,1,4,2,0,0,1,2,0,4
457879,3,3,4,4,0,4,1,0,0,3,3,2
254173,4,4,0,4,2,4,3,2,0,4,0,2
961016,0,1,0,2,1,3,1,0,2,0,4,0
178101,3,2,2,2,4,0,2,4,0,1,0,0
135099,2,4,2,0,2,2,1,1,1,4,4,4
990570,4,2,1,4,0,3,3,3,2,4,2,3
913314,3,3,0,4,1,0,0,3,2,2,4,4
941569,4,1,3,2,1,3,3,3,0,1,0,4
605082,0,4,1,4,2,0,0,2,3,4,1,1
937793,2,0,1,1,0,2,1,3,2,4,1,0
797765,1,3,3,4,0,2,3,4,3,1,0,0
641145,3,0,2,2,4,3,2,1,4,3,0,3
518637,0,4,1,1,2,1,3,1,0,1,4,2
244116,2,2,2,1,3,0,4,0,2,0,1,2
187979,3,3,2,4,4,4,4,1,0,4,3,2
471144,3,2,2,3,3,4,2,3,2,2,2,1
877324,2,3,1,3,1,4,2,4,1,4,0,3
210031,4,1,4,0,4,2,0,3,4,1,4,1
179141,3,1,2,2,3,1,0,2,2,3,1,1
441112,1,1,2,1,2,4,3,2,2,2,2,3
773415,3,2,2,0,2,0,2,3,3,2,1,0
222763,3,1,1,2,0,3,3,4,2,1,4,2
983050,1,4,0,1,0,3,2,3,0,1,2,1
556840,1,0,1,3,2,3,1,3,4,3,4,4
